Internal_ID	BioSample	Sub_site	Subject_gender	Raw_read_count_R1	Raw_read_count_R2	Raw_total_reads	QC_read_count_R1	QC_read_count_R2	QC_total_reads	Reads_failed_QC	Percentage_reads_passed_QC
SRS143037_TD	SRS143037	TD	male	45580967.00	45580967.00	91161934.00	40668685.00	40668685.00	81337370.00	9824564	89.223
SRS144026_SUPP	SRS144026	SUPP	male	60940544.00	60940544.00	121881088.00	51734397.00	51734397.00	103468794.00	18412294	84.8932
SRS143310_TD	SRS143310	TD	female	74653503.00	74653503.00	149307006.00	62005806.00	62005806.00	124011612.00	25295394	83.0581
SRS143850_TD	SRS143850	TD	male	84821453.00	84821453.00	169642906.00	71892567.00	71892567.00	143785134.00	25857772	84.7575
SRS143616_SUPP	SRS143616	SUPP	female	102460136.00	102460136.00	204920272.00	59983986.00	59983986.00	119967972.00	84952300	58.5437
SRS143529_TD	SRS143529	TD	female	88510088.00	88510088.00	177020176.00	75221696.00	75221696.00	150443392.00	26576784	84.9866
SRS143423_TD	SRS143423	TD	male	92298408.00	92298408.00	184596816.00	70452003.00	70452003.00	140904006.00	43692810	76.3307
SRS143253_TD	SRS143253	TD	female	93699090.00	93699090.00	187398180.00	78097301.00	78097301.00	156194602.00	31203578	83.349
SRS144113_BM	SRS144113	BM	male	17485739.00	17485739.00	34971478.00	1288566.00	1288566.00	2577132.00	32394346	7.36924
SRS144761_BM	SRS144761	BM	female	18577308.00	18577308.00	37154616.00	2368763.00	2368763.00	4737526.00	32417090	12.7508
SRS144196_BM	SRS144196	BM	female	20936066.00	20936066.00	41872132.00	2246501.00	2246501.00	4493002.00	37379130	10.7303
SRS144398_BM	SRS144398	BM	male	21958769.00	21958769.00	43917538.00	1506262.00	1506262.00	3012524.00	40905014	6.8595
SRS146741_BM	SRS146741	BM	male	19740216.00	19740216.00	39480432.00	3984456.00	3984456.00	7968912.00	31511520	20.1845
SRS144589_BM	SRS144589	BM	female	24548037.00	24548037.00	49096074.00	1249890.00	1249890.00	2499780.00	46596294	5.09161
SRS144765_SUPP	SRS144765	SUPP	female	16532715.00	16532715.00	33065430.00	11765220.00	11765220.00	23530440.00	9534990	71.1633
SRS144144_SUPP	SRS144144	SUPP	male	20085863.00	20085863.00	40171726.00	10917022.00	10917022.00	21834044.00	18337682	54.3518
SRS144703_BM	SRS144703	BM	male	23778527.00	23778527.00	47557054.00	5444127.00	5444127.00	10888254.00	36668800	22.8951
SRS144140_BM	SRS144140	BM	male	30358924.00	30358924.00	60717848.00	3071735.00	3071735.00	6143470.00	54574378	10.1181
SRS144707_SUPP	SRS144707	SUPP	male	22431244.00	22431244.00	44862488.00	11811516.00	11811516.00	23623032.00	21239456	52.6565
SRS146826_BM	SRS146826	BM	female	34237978.00	34237978.00	68475956.00	2379757.00	2379757.00	4759514.00	63716442	6.95064
SRS146769_BM	SRS146769	BM	male	30507632.00	30507632.00	61015264.00	4990545.00	4990545.00	9981090.00	51034174	16.3583
SRS144427_SUPP	SRS144427	SUPP	male	21328875.00	21328875.00	42657750.00	10863732.00	10863732.00	21727464.00	20930286	50.9344
SRS144424_PT	SRS144424	PT	male	45909912.00	45909912.00	91819824.00	3063995.00	3063995.00	6127990.00	85691834	6.67393
SRS144515_BM	SRS144515	BM	male	53877625.00	53877625.00	107755250.00	4111352.00	4111352.00	8222704.00	99532546	7.63091
SRS144382_SUBP	SRS144382	SUBP	male	49212185.00	49212185.00	98424370.00	4468460.00	4468460.00	8936920.00	89487450	9.07999
SRS146721_BM	SRS146721	BM	male	54090904.00	54090904.00	108181808.00	4418710.00	4418710.00	8837420.00	99344388	8.16904
